,artist_name,track_name,track_id,popularity
389,Mariah Carey,O Holy Night,3B7FO3kJ5kv3mX7yiaB7sT,78
390,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
391,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
392,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
393,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
394,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
395,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
396,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
397,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
398,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
399,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
400,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
401,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
402,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
403,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
404,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
405,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
406,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
407,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
408,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
409,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
410,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
411,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
412,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
413,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
414,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
415,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
416,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
417,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
418,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
419,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
420,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
421,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
422,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
423,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
424,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
425,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
426,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
427,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
428,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
429,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
430,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
431,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
432,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
433,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
434,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
435,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
436,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
437,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
438,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
439,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
440,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
441,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
442,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
443,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
