song_url,track_name,artist_name,date,position,streams,rank
https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,Oh My God,Adele,2021-12-10,73,"460,930",73
https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,2021-12-10,74,"460,842",74
https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),Post Malone,2021-12-10,75,"453,263",75
https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,Do They Know It's Christmas? - 1984 Version,Band Aid,2021-12-10,76,"443,289",76
https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z,Santa Claus Is Coming To Town,The Jackson 5,2021-12-10,77,"442,881",77
https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,2021-12-10,78,"442,133",78
https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO,Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri Rene & His Orchestra",2021-12-10,79,"430,925",79
https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE,Bad Man (Smooth Criminal),Polo G,2021-12-10,80,"421,773",80
https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,2021-12-10,81,"421,664",81
https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T,Praise God,Kanye West,2021-12-10,82,"419,129",82
https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo,2055,Sleepy Hallow,2021-12-10,83,"417,879",83
https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez,You Right,"Doja Cat, The Weeknd",2021-12-10,84,"416,974",84
https://open.spotify.com/track/6UjeFOCGYgMpBUtqKg1Je3,Alien Blues,Vundabar,2021-12-10,85,"416,956",85
https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq,Snowman,Sia,2021-12-10,86,"413,606",86
https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI,Carol of the Bells,"Mykola Dmytrovych Leontovych, John Williams",2021-12-10,87,"412,697",87
https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,No Role Modelz,J. Cole,2021-12-10,88,"408,878",88
https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),Doja Cat,2021-12-10,89,"406,866",89
https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2021-12-10,90,"403,297",90
https://open.spotify.com/track/299lFlaAsNQdgbIZNPmIA0,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,2021-12-10,91,"397,368",91
https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN,Christmas (Baby Please Come Home),Mariah Carey,2021-12-10,92,"395,792",92
https://open.spotify.com/track/1GQ3cCJMAhLqWARyVZWxnO,Mele Kalikimaka - Single Version,"Bing Crosby, The Andrews Sisters",2021-12-10,93,"391,199",93
https://open.spotify.com/track/5xlS0QkVrSH7ssEbBgBzbM,Little Saint Nick - 1991 Remix,The Beach Boys,2021-12-10,94,"390,881",94
https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Drake,2021-12-10,95,"388,021",95
https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,Pepas,Farruko,2021-12-10,96,"387,548",96
https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE,"Baby, It's Cold Outside",Dean Martin,2021-12-10,97,"386,454",97
https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,2021-12-10,98,"384,845",98
https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),Drake,2021-12-10,99,"384,382",99
https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf,By Your Side,Rod Wave,2021-12-10,100,"383,701",100
https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8,favorite crime,Olivia Rodrigo,2021-12-10,101,"383,074",101
https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,Lil Nas X,2021-12-10,102,"382,103",102
https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,2021-12-10,103,"381,519",103
https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4,Jugaste y Sufrí,"Eslabon Armado, DannyLux",2021-12-10,104,"380,785",104
https://open.spotify.com/track/1Wf14bTyb6UeKojy8ykPYm,Happy Holiday / The Holiday Season,Andy Williams,2021-12-10,105,"378,614",105
https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,2021-12-10,106,"375,405",106
https://open.spotify.com/track/35uYYHfPcA5zcl8IeVXxOb,Be Free,A Boogie Wit da Hoodie,2021-12-10,107,"373,997",107
https://open.spotify.com/track/34rzJNfTd5e9s3TICFMPD0,O Tannenbaum,Vince Guaraldi Trio,2021-12-10,108,"364,259",108
https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb,I AM WOMAN,Emmy Meli,2021-12-10,109,"363,620",109
https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT,Step Into Christmas,Elton John,2021-12-10,110,"360,780",110
https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-12-10,111,"358,392",111
https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu,Joy To The World,Nat King Cole,2021-12-10,112,"357,995",112
https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,2021-12-10,113,"357,930",113
https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2021-12-10,114,"356,587",114
https://open.spotify.com/track/030mot3ZKR3oskfMsqDB2R,Have Yourself A Merry Little Christmas,Judy Garland,2021-12-10,115,"354,178",115
https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng,20 Min,Lil Uzi Vert,2021-12-10,116,"352,024",116
https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,2021-12-10,117,"350,873",117
https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr,Freaks,Surf Curse,2021-12-10,118,"345,836",118
https://open.spotify.com/track/3CUqjIsPPuncCJFIydwq5a,Glasses,A Boogie Wit da Hoodie,2021-12-10,119,"336,563",119
https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,2021-12-10,120,"335,476",120
